FECHA,HORA,AJM,BJU,CAM,FAR,GAM,HGM,INN,MER,MGH,MPA,PED,SAC,SAG,SFE,TLA,UIZ,XAL
1/1/2022,1,-99,20,10,-99,-99,-99,7,21,-99,13,15,-99,29,16,34,24,-99
1/1/2022,2,-99,20,18,-99,-99,-99,8,20,-99,12,13,-99,17,16,32,23,-99
1/1/2022,3,-99,18,16,-99,-99,-99,7,19,-99,13,16,-99,26,14,31,22,-99
1/1/2022,4,-99,16,11,-99,-99,-99,6,14,-99,13,15,-99,38,13,25,23,-99
1/1/2022,5,-99,15,17,-99,-99,-99,6,15,-99,12,9,-99,50,12,23,31,-99
1/1/2022,6,-99,16,11,-99,-99,-99,5,18,-99,12,8,-99,46,12,24,23,-99
1/1/2022,7,-99,15,10,-99,-99,-99,5,19,-99,16,8,-99,34,14,18,17,-99
1/1/2022,8,-99,14,10,-99,-99,-99,4,28,-99,13,6,-99,28,11,17,29,-99
1/1/2022,9,-99,16,5,-99,-99,-99,4,31,-99,17,10,-99,22,10,23,30,-99
1/1/2022,10,-99,23,8,-99,-99,-99,2,31,-99,16,12,-99,33,18,46,36,-99
1/1/2022,11,-99,23,12,-99,-99,-99,5,26,-99,19,15,-99,23,23,46,30,-99
1/1/2022,12,-99,22,24,-99,-99,-99,4,18,-99,15,16,-99,16,28,37,27,-99
1/1/2022,13,-99,17,-99,-99,-99,-99,5,15,-99,24,16,-99,13,30,34,19,-99
1/1/2022,14,-99,14,-99,-99,-99,-99,8,14,-99,21,16,-99,25,28,26,20,-99
1/1/2022,15,-99,15,-99,-99,-99,-99,19,15,-99,16,16,-99,18,24,25,18,-99
1/1/2022,16,-99,14,-99,-99,-99,-99,15,10,-99,18,14,-99,13,18,24,15,-99
1/1/2022,17,-99,13,-99,-99,-99,-99,21,9,-99,17,12,-99,8,17,19,14,-99
1/1/2022,18,-99,10,-99,-99,-99,-99,38,11,-99,16,10,-99,11,17,18,15,-99
1/1/2022,19,-99,16,-99,-99,-99,-99,24,14,-99,24,18,-99,20,20,18,17,-99
1/1/2022,20,-99,19,-99,-99,-99,-99,15,20,-99,22,15,-99,-99,17,35,15,-99
1/1/2022,21,-99,19,-99,-99,-99,-99,12,24,-99,28,12,-99,-99,15,32,-99,-99
1/1/2022,22,-99,18,-99,-99,-99,-99,10,51,-99,27,10,-99,-99,10,23,-99,-99
1/1/2022,23,-99,15,-99,-99,-99,-99,10,34,-99,20,7,-99,-99,7,19,-99,-99
1/1/2022,24,-99,11,-99,-99,-99,-99,3,34,-99,17,5,-99,-99,6,21,37,-99
1/2/2022,1,-99,15,-99,-99,-99,-99,2,32,-99,15,5,-99,-99,4,14,33,-99
1/2/2022,2,-99,20,-99,-99,-99,-99,2,25,-99,14,3,-99,20,3,8,32,-99
1/2/2022,3,-99,20,-99,-99,-99,-99,1,22,-99,10,4,-99,24,2,8,23,-99
1/2/2022,4,-99,17,-99,-99,-99,-99,-99,20,-99,7,4,-99,27,3,10,24,-99
1/2/2022,5,-99,14,-99,-99,-99,-99,-99,15,-99,6,2,-99,25,2,7,21,-99
1/2/2022,6,-99,12,-99,-99,-99,-99,-99,16,-99,6,-99,-99,19,2,8,20,-99
1/2/2022,7,-99,13,-99,-99,-99,-99,-99,22,-99,5,5,-99,32,3,11,20,-99
1/2/2022,8,-99,13,-99,-99,-99,-99,2,24,-99,13,5,-99,40,4,16,31,-99
1/2/2022,9,-99,18,-99,-99,-99,-99,4,26,-99,18,7,-99,21,5,21,39,-99
1/2/2022,10,-99,19,-99,-99,-99,-99,10,25,-99,11,7,-99,30,4,48,32,-99
1/2/2022,11,-99,16,-99,-99,-99,-99,24,20,-99,13,7,-99,30,3,36,24,-99
1/2/2022,12,-99,12,-99,-99,-99,-99,30,15,-99,12,8,-99,13,7,19,19,-99
1/2/2022,13,-99,11,-99,-99,-99,-99,21,13,-99,14,9,-99,15,8,25,19,-99
1/2/2022,14,-99,13,-99,-99,-99,-99,16,15,-99,22,8,-99,19,10,32,28,-99
1/2/2022,15,-99,13,-99,-99,-99,-99,22,21,-99,25,12,-99,20,17,-99,28,-99
1/2/2022,16,-99,22,-99,-99,-99,-99,30,24,-99,30,19,-99,72,22,90,49,-99
1/2/2022,17,-99,54,-99,-99,-99,-99,40,71,-99,50,31,-99,92,49,200,126,-99
1/2/2022,18,-99,64,-99,-99,-99,-99,156,63,-99,53,69,-99,55,312,520,140,-99
1/2/2022,19,-99,142,-99,-99,-99,-99,214,43,-99,51,192,-99,60,194,155,67,-99
1/2/2022,20,-99,51,-99,-99,-99,-99,66,48,-99,114,42,-99,45,54,53,47,-99
1/2/2022,21,-99,25,-99,-99,-99,-99,24,25,-99,80,21,-99,21,23,36,36,-99
1/2/2022,22,-99,13,-99,-99,-99,-99,13,19,-99,39,12,-99,12,13,25,22,-99
